EnthalpyFus,JR Tm /K,CRC Tm /K
6.79,149.76,142.84999999999997
16.52,304.02,267.15
22.31,415.74000000000007,393.65
25.31,465.63,381.55
25.31,465.63,389.65
25.31,465.63,398.95
20.51,369.85,316.75
30.12,561.4100000000001,440.15
32.85,554.24,439.65
26.29,481.57,380.65
26.29,481.57,312.15
23.05,430.12,377.15
24.53,397.83,295.15
27.35,281.93,301.15
20.67,209.84,215.35
5.7,150.01000000000002,173.74999999999997
9.38,161.03,168.14999999999998
15.32,325.44,281.15
15.32,325.44,316.25
25.66,431.61,421.65
25.66,431.61,431.45
24.72,427.88,386.15
20.93,351.37,349.75
21.88,377.37,332.15
26.72,423.9200000000001,338.85
15.92,298.71000000000004,291.54999999999995
27.71,423.84,379.65
27.06,420.65,375.15
27.06,420.65,399.15
30.18,526.75,417.65
4.2,138.49,156.04999999999998
17.87,314.09000000000003,314.15
7.93,148.41,138.34999999999997
7.93,148.41,174.14999999999998
6.44,151.73,137.14999999999998
15.28,298.37,339.15
25.36,351.31,315.65
19.44,430.04,493.15
12.08,273.99,229.65
19.07,364.29,311.54999999999995
19.07,364.29,319.04999999999995
24.86,476.0100000000001,403.15
13.05,247.02,289.04999999999995
43.16,574.6700000000001,300.15
6.52,132.0,73.99999999999997
8.89,277.39,201.3
11.74,237.51,225.35
26.79,586.09,603.15
6.96,146.41,167.64999999999998
4.37,135.14,91.99999999999996
13.56,241.7,267.15
13.56,241.7,240.15
5.85,214.68,247.15
29.21,564.2,278.95
36.92,523.9000000000001,425.15
61.21,782.8299999999999,405.65
28.75,418.9,420.15
37.19,595.0799999999999,436.65
35.98,544.91,423.65
31.3,453.29,351.75
31.3,453.29,345.15
36.46,509.87,414.65
36.46,509.87,458.65
36.22,527.39,405.15
36.22,527.39,414.65
48.67,614.21,423.15
83.32,706.68,321.04999999999995
36.22,527.39,421.35
39.59,608.17,421.15
26.7,442.18,528.15
43.59,603.4100000000001,332.15
33.31,414.94000000000005,348.15
23.45,373.13,315.15
23.45,373.13,407.15
35.23,377.63,317.15
32.61,368.19000000000005,248.15
38.4,702.42,426.15
41.92,710.36,455.15
50.82,526.1800000000001,390.15
28.23,500.8200000000001,424.15
45.47,724.3499999999999,493.65
18.47,338.15000000000003,394.15
62.28,1012.5,511.15
13.71,306.79,304.15
13.71,306.79,307.92
117.4,1614.25,459.15
68.27,658.53,404.65
47.86,608.6000000000001,365.15
36.05,659.92,438.75
11.83,321.75,387.25
16.84,374.41,387.65
